degree,course
Accountancy,Accountancy
Accountancy (3-yr direct Honours Programme),Accountancy
Accountancy (4-year programme),Accountancy
Accountancy (4-year programme) Cum Laude and above,Accountancy
Accountancy (4-years programme),Accountancy
Accountancy (4-years programme) Cum Laude and above,Accountancy
Accountancy (Cum Laude and above),Accountancy
Accountancy and Business,Accountancy
Accountancy Cum Laude and above,Accountancy
Aerospace Engineering,Engineering Sciences
Aerospace Engineering and Economics **,Engineering Sciences
"Art, Design & Media",Fine & Applied Arts
Arts (with Education),Fine & Applied Arts
Bachelor in Science (Diagnostic Radiography),Health Sciences
Bachelor in Science (Diagnostic Radiography) **,Health Sciences
Bachelor in Science (Diagnostic Radiography) ^,Health Sciences
Bachelor in Science (Occupational Therapy),Health Sciences
Bachelor in Science (Physiotherapy),Health Sciences
Bachelor in Science (Radiation Therapy) **,Health Sciences
Bachelor of Accountancy,Accountancy
Bachelor of Accountancy (Hons),Accountancy
Bachelor of Accountancy with Honours,Accountancy
Bachelor of Applied Science (Hons),"Natural, Physical & Mathematical Sciences"
Bachelor of Applied Science **,"Natural, Physical & Mathematical Sciences"
Bachelor of Arts,Fine & Applied Arts
Bachelor of Arts (Architecture) #,"Architecture, Building & Real Estate"
Bachelor of Arts (Architecture) # **,"Architecture, Building & Real Estate"
Bachelor of Arts (Architecture) ** #,"Architecture, Building & Real Estate"
Bachelor of Arts (Hons),Fine & Applied Arts
Bachelor of Arts (Hons) (Education),Education
Bachelor of Arts (Hons) in Chinese,Mass Communication
Bachelor of Arts (Hons) in Economics,Business & Administration
Bachelor of Arts (Hons) in English,Mass Communication
Bachelor of Arts (Hons) in History,Humanities & Social Sciences
Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,Humanities & Social Sciences
Bachelor of Arts (Hons) in Philosophy **,Humanities & Social Sciences
Bachelor of Arts (Hons) in Psychology,Humanities & Social Sciences
Bachelor of Arts (Hons) in Public Policy And Global Affairs,Services
Bachelor of Arts (Hons) in Sociology,Humanities & Social Sciences
Bachelor of Arts (Industrial Design),Fine & Applied Arts
Bachelor of Arts in Game Design,Information Technology
Bachelor of Arts in Game Design **,Information Technology
Bachelor of Arts in Game Design ^,Information Technology
Bachelor of Arts with Honours,Fine & Applied Arts
Bachelor of Arts with Honours in Communication Design,Mass Communication
Bachelor of Arts with Honours in Criminology and Security,Services
Bachelor of Arts with Honours in Interior Design,"Architecture, Building & Real Estate"
Bachelor of Business (Hons),Business & Administration
Bachelor of Business Administration,Business & Administration
Bachelor of Business Administration (Accountancy),Business & Administration
Bachelor of Business Administration (Accountancy) (Hons),Business & Administration
Bachelor of Business Administration (Accountancy) ^,Business & Administration
Bachelor of Business Administration (Hons),Business & Administration
Bachelor of Business Administration in Food Business Management,Business & Administration
Bachelor of Communication Studies (Hons),Mass Communication
Bachelor of Computing (Communications and Media),Mass Communication
Bachelor of Computing (Communications And Media) **,Mass Communication
Bachelor of Computing (Computational Biology) **,Health Sciences
Bachelor of Computing (Computer Engineering) **,Engineering Sciences
Bachelor of Computing (Computer Science),Information Technology
Bachelor of Computing (Electronic Commerce),Information Technology
Bachelor of Computing (Electronic Commerce) **,Information Technology
Bachelor of Computing (Information Security) **,Information Technology
Bachelor of Computing (Information Systems),Information Technology
Bachelor of Dental Surgery,Dentistry
Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering),Engineering Sciences
Bachelor of Engineering (Bioengineering),Engineering Sciences
Bachelor of Engineering (Biomedical Engineering),Engineering Sciences
Bachelor of Engineering (Biomedical Engineering) ^^,Engineering Sciences
Bachelor of Engineering (Chemical Engineering),Engineering Sciences
Bachelor of Engineering (Civil Engineering),Engineering Sciences
Bachelor of Engineering (Computer Engineering),Engineering Sciences
Bachelor of Engineering (Electrical Engineering),Engineering Sciences
Bachelor of Engineering (Engineering Product Development),Engineering Sciences
Bachelor of Engineering (Engineering Science),Engineering Sciences
Bachelor of Engineering (Engineering Science) **,Engineering Sciences
Bachelor of Engineering (Engineering Systems and Design),Engineering Sciences
Bachelor of Engineering (Environmental Engineering),Engineering Sciences
Bachelor of Engineering (Hons) (Aerospace Engineering),Engineering Sciences
Bachelor of Engineering (Hons) (Bioengineering),Engineering Sciences
Bachelor of Engineering (Hons) (Civil Engineering),Engineering Sciences
Bachelor of Engineering (Hons) (Computer Engineering),Engineering Sciences
Bachelor of Engineering (Hons) (Computer Science),Engineering Sciences
Bachelor of Engineering (Hons) (Electrical & Electronic Engineering),Engineering Sciences
Bachelor of Engineering (Hons) (Environmental Engineering),Engineering Sciences
Bachelor of Engineering (Hons) (Information Engineering & Media),Information Technology
Bachelor of Engineering (Hons) (Materials Engineering),Engineering Sciences
Bachelor of Engineering (Hons) (Mechanical Engineering),Engineering Sciences
Bachelor of Engineering (Industrial and Systems Engineering),Engineering Sciences
Bachelor of Engineering (Information Systems Technology and Design),Information Technology
Bachelor of Engineering (Materials Science and Engineering),Engineering Sciences
Bachelor of Engineering (Mechanical Engineering),Engineering Sciences
Bachelor of Engineering with Honours in Aeronautical Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Aerospace Systems,Engineering Sciences
Bachelor of Engineering with Honours in Chemical Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Electrical Power Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Information & Communications Technology (Information Security) ^,Information Technology
Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),Information Technology
Bachelor of Engineering with Honours in Marine Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Marine Engineering ^,Engineering Sciences
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Mechanical Design Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Mechatronics,Engineering Sciences
Bachelor of Engineering with Honours in Naval Architecture,"Architecture, Building & Real Estate"
Bachelor of Engineering with Honours in Naval Architecture ^,"Architecture, Building & Real Estate"
Bachelor of Engineering with Honours in Offshore Engineering,Engineering Sciences
Bachelor of Engineering with Honours in Offshore Engineering ^,Engineering Sciences
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),Engineering Sciences
Bachelor of Environmental Studies,Humanities & Social Sciences
Bachelor of Fine Arts (Hons),Fine & Applied Arts
Bachelor of Fine Arts in Digital Art and Animation,Fine & Applied Arts
Bachelor of Fine Arts in Digital Arts & Animation,Fine & Applied Arts
Bachelor of Fine Arts in Digital Arts & Animation ^,Fine & Applied Arts
Bachelor of Hospitality Business with Honours,Business & Administration
Bachelor of Hospitality Business with Honours ^,Business & Administration
Bachelor of Laws #,Law
Bachelor of Laws (L.L.B) (Hons) #,Law
Bachelor of Laws (LLB) (Hons) #,Law
Bachelor of Medicine and Bachelor of Surgery #,Medicine
Bachelor of Medicine and Bachelor of Surgery # **,Medicine
Bachelor of Medicine and Bachelor of Surgery (MBBS) #,Medicine
Bachelor of Music,Humanities & Social Sciences
Bachelor of Music **,Humanities & Social Sciences
Bachelor of Professional Studies in Culinary Arts Management,Fine & Applied Arts
Bachelor of Science,"Natural, Physical & Mathematical Sciences"
Bachelor of Science (Architecture and Sustainable Design) #,"Architecture, Building & Real Estate"
Bachelor of Science (Architecture and Sustainable Design) ###,"Architecture, Building & Real Estate"
Bachelor of Science (Business Analytics),Business & Administration
Bachelor of Science (Computational Biology) **,Health Sciences
Bachelor of Science (Hons),"Natural, Physical & Mathematical Sciences"
Bachelor of Science (Hons) (Education),Education
Bachelor of Science (Hons) (Maritime Studies),Engineering Sciences
Bachelor of Science (Hons) (Sport Science & Management),Health Sciences
Bachelor of Science (Hons) in Biological Sciences,Health Sciences
Bachelor of Science (Hons) in Chemistry & Biological Chemistry,"Natural, Physical & Mathematical Sciences"
Bachelor of Science (Hons) in Mathematical Sciences,"Natural, Physical & Mathematical Sciences"
Bachelor of Science (Hons) in Mathematics & Economics,"Natural, Physical & Mathematical Sciences"
Bachelor of Science (Hons) in Physics/Applied Physics,"Natural, Physical & Mathematical Sciences"
Bachelor of Science (Major in Hospitality Management),Services
Bachelor of Science (Nursing),Services
Bachelor of Science (Nursing) (Hons),Services
Bachelor of Science (Pharmacy) #,Health Sciences
Bachelor of Science (Pharmacy) (Hons) #,Health Sciences
Bachelor of Science (Pharmacy)(Hons) #,Health Sciences
Bachelor of Science (Project and Facilities Management),"Architecture, Building & Real Estate"
Bachelor of Science (Real Estate),"Architecture, Building & Real Estate"
Bachelor of Science in Chemical Engineering,Engineering Sciences
Bachelor of Science in Computer Science & Game Design,Information Technology
Bachelor of Science in Computer Science & Game Design **,Information Technology
Bachelor of Science in Computer Science & Game Design ^,Information Technology
Bachelor of Science in Computer Science and Game Design ^,Information Technology
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,Information Technology
Bachelor of Science in Early Childhood Education,Education
Bachelor of Science in Electrical Engineering & Information Technology,Information Technology
Bachelor of Science in Finance,Business & Administration
Bachelor of Science in Marketing,Business & Administration
Bachelor of Science with Honours,Engineering Sciences
Bachelor of Science with Honours ^,Engineering Sciences
Bachelor of Science with Honours in Computing Science,Engineering Sciences
Bachelor of Science with Honours in Food & Human Nutrition,Health Sciences
Bachelor of Science with Honours in Food and Human Nutrition,Health Sciences
Bachelor of Science with Honours in Nursing,Services
Bachelor of Science with Honours in Nursing Practice,Services
Bachelor of Social Sciences,Humanities & Social Sciences
Bioengineering,Engineering Sciences
Biological Sciences,Health Sciences
Biomedical Science (Traditional Chinese Medicine) #,Medicine
Biomedical Science **,Health Sciences
Biomedical Sciences & Chinese Medicine #,Medicine
Biomedical Sciences & Chinese Medicine # ^,Medicine
Biomedical Sciences (Traditional Chinese Medicine) #,Medicine
Biomedical Sciences **,Health Sciences
Business,Business & Administration
Business (3-yr direct Honours Programme),Business & Administration
Business and Computer Engineering **,Business & Administration
Business and Computing,Business & Administration
Business and Computing ^,Business & Administration
Business Management,Business & Administration
Business Management (4-year programme),Business & Administration
Business Management (4-year programme) Cum Laude and above,Business & Administration
Business Management (4-years programme),Business & Administration
Business Management (4-years programme) Cum Laude and above,Business & Administration
Business Management (Cum Laude and above),Business & Administration
Business Management Cum Laude and above,Business & Administration
Chemical & Biomolecular Engineering,Engineering Sciences
Chemical & Biomolecular Engineering and Economics **,Engineering Sciences
Chemical and Biomolecular Engineering,Engineering Sciences
Chemical And Biomolecular Engineering and Economics **,Engineering Sciences
Chemistry & Biological Chemistry,"Natural, Physical & Mathematical Sciences"
Chinese,Mass Communication
Civil Engineering,Engineering Sciences
Communication Studies,Mass Communication
Computer Engineering,Engineering Sciences
Computer Engineering and Economics **,Engineering Sciences
Computer Science,Information Technology
Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons),Business & Administration
Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering) **,Engineering Sciences
Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science),Engineering Sciences
Double Degree in Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering Sciences
Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering Sciences
Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering Sciences
Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) and Bachelor of Arts (Hons) in Economics **,Engineering Sciences
Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering Sciences
Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics **,Engineering Sciences
Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine) #,Medicine
Economics,Business & Administration
Economics (4-year programme),Business & Administration
Economics (4-year programme) Cum Laude and above,Business & Administration
Economics (4-years programme),Business & Administration
Economics (4-years programme) Cum Laude and above,Business & Administration
Economics (Cum Laude and above),Business & Administration
Economics Cum Laude and above,Business & Administration
Electrical & Electronic Engineering,Engineering Sciences
Electrical and Electronic Engineering,Engineering Sciences
English,Mass Communication
Environmental Earth Systems Science ^,"Natural, Physical & Mathematical Sciences"
Environmental Engineering,Engineering Sciences
Environmental Engineering and Economics **,Engineering Sciences
History,Humanities & Social Sciences
Information Engineering & Media,Information Technology
Information Engineering and Media,Information Technology
Information Engineering And Media and Economics **,Information Technology
Information Systems,Information Technology
Information Systems (Cum Laude and above),Information Technology
Information Systems Management,Information Technology
Information Systems Management (4-year programme),Information Technology
Information Systems Management (4-year programme) Cum Laude and above,Information Technology
Information Systems Management (4-years programme),Information Technology
Information Systems Management (4-years programme) Cum Laude and above,Information Technology
Information Systems Management Cum Laude and above,Information Technology
Law #,Law
Law (4-year programme) #,Law
Law (4-year programme) Cum Laude and above #,Law
Law (4-years programme) #,Law
Law (4-years programme) Cum Laude and above #,Law
Law (Cum Laude and above) #,Law
Law Cum Laude and above #,Law
Linguistics & Multilingual Studies,Humanities & Social Sciences
Linguistics and Multilingual Studies,Humanities & Social Sciences
Maritime Studies,Engineering Sciences
Materials Engineering,Engineering Sciences
Materials Engineering and Economics **,Engineering Sciences
Mathematical Science,"Natural, Physical & Mathematical Sciences"
Mathematical Sciences,"Natural, Physical & Mathematical Sciences"
Mathematics & Economics,"Natural, Physical & Mathematical Sciences"
Mathematics & Economics **,"Natural, Physical & Mathematical Sciences"
Mechanical Engineering,Engineering Sciences
Mechanical Engineering and Economics **,Engineering Sciences
Medicine ##,Medicine
Philosophy,Humanities & Social Sciences
Physics & Applied Physics,"Natural, Physical & Mathematical Sciences"
Physics / Applied Physics,"Natural, Physical & Mathematical Sciences"
Psychology,Humanities & Social Sciences
Public Policy and Global Affairs,Services
Public Policy And Global Affairs **,Services
Science (with Education),Education
Social Sciences,Humanities & Social Sciences
Social Sciences (4-year programme),Humanities & Social Sciences
Social Sciences (4-year programme) Cum Laude and above,Humanities & Social Sciences
Social Sciences (4-years programme),Humanities & Social Sciences
Social Sciences (4-years programme) Cum Laude and above,Humanities & Social Sciences
Social Sciences (Cum Laude and above),Humanities & Social Sciences
Social Sciences Cum Laude and above,Humanities & Social Sciences
Sociology,Humanities & Social Sciences
Sport Science and Management,Health Sciences
Sports Science and Management,Health Sciences
